age,gender,pattern
26,Kobieta,"[3, 4, 5, 8]"
34,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
20,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
20,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
37,Mężczyzna,"[6, 3, 0, 1, 2, 5, 8]"
22,Mężczyzna,"[3, 1, 4, 7]"
19,Kobieta,"[3, 4, 5, 8]"
50,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
18,Mężczyzna,"[0, 3, 6, 4, 2, 5, 8]"
26,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
21,Mężczyzna,"[0, 1, 4, 7, 6, 3, 5, 8]"
22,Kobieta,"[6, 4, 2, 5, 8]"
19,Kobieta,"[0, 4, 8, 2]"
23,Mężczyzna,"[6, 3, 0, 4, 2, 5, 8]"
24,Kobieta,"[0, 3, 6, 4, 8, 5, 2]"
29,Kobieta,"[0, 3, 6, 7, 8, 5, 2]"
24,Kobieta,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
19,Mężczyzna,"[3, 1, 5, 7, 0, 6, 4, 2, 8]"
29,Kobieta,"[2, 1, 0, 3, 6, 7, 8]"
18,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
50,Kobieta,"[0, 1, 2, 5, 8]"
24,Mężczyzna,"[0, 1, 4, 7, 8, 5, 2]"
19,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
18,Kobieta,"[3, 4, 5, 8]"
21,Kobieta,"[3, 4, 5, 8]"
56,Kobieta,"[0, 3, 6, 7, 8]"
33,Mężczyzna,"[0, 1, 2, 5, 8]"
22,Mężczyzna,"[3, 4, 5, 8]"
45,Kobieta,"[3, 4, 5, 8]"
21,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
20,Mężczyzna,"[6, 3, 0, 2, 5, 8, 4, 7]"
20,Kobieta,"[6, 3, 4, 1, 2]"
51,Mężczyzna,"[0, 3, 6, 8, 5, 2]"
20,Mężczyzna,"[3, 0, 1, 4, 7, 8, 5]"
19,Mężczyzna,"[2, 4, 6, 3, 0, 1, 7, 8, 5]"
21,Mężczyzna,"[0, 3, 4, 5, 8]"
21,Kobieta,"[0, 1, 2, 5, 4, 3, 6, 7, 8]"
20,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
19,Kobieta,"[0, 1, 2, 5, 8, 7, 6]"
22,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
44,Mężczyzna,"[3, 4, 5, 8]"
22,Mężczyzna,"[4, 2, 1, 0, 3, 5, 8, 7, 6]"
18,Mężczyzna,"[2, 5, 8, 7, 6]"
23,Kobieta,"[0, 3, 6, 7, 4, 1, 2, 5, 8]"
24,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2, 1, 4]"
20,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
20,Kobieta,"[0, 1, 2, 5, 8]"
27,Kobieta,"[0, 1, 2, 5, 8]"
36,Kobieta,"[6, 3, 0, 4, 2, 5, 8]"
23,Kobieta,"[2, 4, 6, 7, 8]"
30,Kobieta,"[2, 5, 8, 4, 0, 3, 6]"
21,Kobieta,"[0, 1, 2, 5, 8, 7, 6, 3, 4]"
20,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
37,Mężczyzna,"[0, 3, 6, 7, 8, 5, 2]"
24,Kobieta,"[3, 4, 5, 8]"
19,Mężczyzna,"[0, 1, 2, 5, 8, 6, 3, 4]"
21,Mężczyzna,"[0, 3, 6, 8]"
22,Mężczyzna,"[2, 1, 4, 7, 6]"
44,Mężczyzna,"[0, 1, 2, 4, 6, 7, 8]"
22,Kobieta,"[4, 3, 6, 7, 8, 2, 1, 0]"
47,Kobieta,"[0, 3, 4, 5, 8]"
47,Kobieta,"[3, 4, 5, 8]"
18,Kobieta,"[6, 3, 0, 1, 4, 7, 8, 5, 2]"
45,Kobieta,"[3, 4, 5, 8]"
24,Mężczyzna,"[8, 4, 0, 3, 6, 2, 5, 1, 7]"
54,Mężczyzna,"[3, 4, 5, 8]"
52,Kobieta,"[0, 3, 6, 7, 8]"
43,Mężczyzna,"[1, 0, 3, 6, 7, 8, 5, 2, 4]"
29,Kobieta,"[1, 2, 5, 8, 7, 6, 3]"
18,Kobieta,"[0, 1, 4, 7, 8]"
30,Mężczyzna,"[0, 1, 2, 5, 8]"
21,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
21,Mężczyzna,"[0, 3, 6, 4, 8, 5, 2]"
28,Kobieta,"[3, 4, 5, 8]"
34,Kobieta,"[0, 1, 2, 5, 8]"
20,Kobieta,"[3, 4, 5, 8]"
48,Kobieta,"[0, 7, 8, 5, 2, 4, 1]"
60,Kobieta,"[0, 3, 6, 7, 8]"
20,Mężczyzna,"[0, 3, 4, 5, 2, 1]"
42,Mężczyzna,"[0, 3, 6, 7]"
21,Mężczyzna,"[0, 3, 6, 7, 8]"
23,Mężczyzna,"[2, 1, 0, 6, 7, 8]"
29,Kobieta,"[0, 3, 6, 7, 8, 4, 1, 5]"
29,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
58,Mężczyzna,"[0, 3, 4, 5, 8]"
22,Mężczyzna,"[6, 3, 0, 4, 8, 5, 2]"
25,Kobieta,"[0, 1, 2, 4, 6, 7, 8]"
20,Mężczyzna,"[0, 3, 4, 5, 8]"
33,Mężczyzna,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
25,Kobieta,"[6, 3, 1, 5, 8, 7, 4]"
19,Kobieta,"[2, 1, 0, 6, 7, 8]"
48,Kobieta,"[0, 3, 6, 7]"
32,Kobieta,"[2, 1, 0, 3, 4, 5, 8, 7, 6]"
